show_id;type;title;director;cast;date_added;release_year;listed_in;description;rating;duration;country
s453;TV Show;Fearless Adventures with Jack Randall;;Jack Randall;July 31, 2020;2018;Animals & Nature, Docuseries, Family;Check out Jack Randall go head-to-head with all kinds of critters.;TV-PG;1 Season;
s454;Movie;Hunt for the Abominable Snowman;Dan Oliver;Stephen Rashbrook;July 31, 2020;2011;Documentary;Across the Himalayas are stories of the yeti, or abominable snowman.;TV-PG;45 min;
s455;Movie;Incredibles 2;Brad Bird;Craig Nelson, Holly Hunter, Sarah Vowell, Huckleberry Milner, Catherine Keener, Eli Fucile;July 31, 2020;2018;Action-Adventure, Animation, Family;The Incredibles spring into action when a dangerous new villain emerges.;PG;118 min;United States
s456;TV Show;King Fishers;;Stephen Mangan;July 31, 2020;2013;Action-Adventure, Animals & Nature, Docuseries;With so many fishermen and so many fishing disciplines, who is best?;TV-PG;1 Season;United Kingdom
s457;Movie;Lost Temple of the Inca;Jim Aikman;Dan Nachtrab;July 31, 2020;2020;Documentary;A scientist discovers artifacts in Peru that could lead him to one of the country’s missing temples.;TV-PG;44 min;United States
s458;TV Show;Marvel Funko Shorts;;;July 31, 2020;2016;Action-Adventure, Animation, Anthology;Marvel and Funko present Pop! style Marvel heroes.;TV-Y7;2 Seasons;
s459;TV Show;Muppets Now;;Dave Goelz, Matt Vogel, David Rudman, Peter Linz, Bill Barretta, Eric Jacobson;July 31, 2020;2020;Comedy, Family, Lifestyle;The Muppets have a brand-new series ready to stream… but only if they can upload it in time.;TV-PG;1 Season;United States
s46;Movie;Prep & Landing: Operation Secret Santa;Kevin Deters, Stevie Wermers-Skelton;Betty White, Dave Foley, Derek Richardson, Sarah Chalke, W. Morgan Sheppard;November 5, 2021;2010;Animation, Family, Fantasy;Mrs. Claus enlists two elves in a secret mission.;TV-G;8 min;
s460;Movie;Surviving the Mount St. Helens Disaster;Sophie Harris;Bill Ratner;July 31, 2020;2020;Animals & Nature, Documentary;Eyewitness accounts and rare images chart the violent 1980 eruption of Mount St. Helens.;TV-PG;44 min;United Kingdom
s461;TV Show;What Sam Sees;;Sam Peltz;July 31, 2020;2018;Animals & Nature, Docuseries, Family;Join Sam on an underwater journey and learn about sharks, eels, and more!;TV-G;1 Season;
s462;Movie;Pirates of the Caribbean: Dead Men Tell No Tales;Joachim Rønning, Espen Sandberg;Johnny Depp, Javier Bardem, Brenton Thwaites, Kaya Scodelario, Kevin McNally, Golshifteh Farahani;July 24, 2020;2017;Action-Adventure, Fantasy;Captain Jack Sparrow searches for the Trident of Poseidon.;PG-13;129 min;United States
s463;TV Show;PJ Masks (Shorts);;;July 24, 2020;2017;Action-Adventure, Animation, Kids;The PJ Masks are protecting the city from villains!;TV-Y;1 Season;
s464;TV Show;Rogue Trip;;Bob Woodruff, Mack Woodruff;July 24, 2020;2020;Buddy, Docuseries;Bob Woodruff and his son travel the world searching for beauty and adventure in unexpected places.;TV-PG;1 Season;
s465;TV Show;Wild Congo;;Corey Johnson;July 24, 2020;2014;Animals & Nature, Docuseries, Family;The Congo: the most mysterious river in the dark heart of Africa.;TV-PG;1 Season;
s466;TV Show;Wild Sri Lanka;;Paul McGann;July 24, 2020;2016;Animals & Nature, Docuseries;This three-part series reveals the spectacular nature and amazing wildlife of Sri Lanka.;TV-PG;1 Season;United Kingdom
s467;Movie;A Pre-Opening Report from Disneyland;Wilfred Jackson;Walt Disney, Winston Hibler;July 17, 2020;1955;Documentary, Family, Historical;Walt provides a look at the details needed to get the Park ready to open. See details for advisory.;TV-PG;55 min;United States
s468;Movie;Diary of a Wimpy Kid: The Long Haul;David Bowers;Jason Drucker, Alicia Silverstone, Tom Scott, Charlie Wright, Owen Asztalos, Dylan Walters;July 17, 2020;2017;Comedy, Family;A trip to Meemaw’s 90th birthday takes a detour due to Greg’s scheme to attend a gaming convention!;PG;92 min;United States
s469;TV Show;Disney Junior Music Lullabies;;;July 17, 2020;2018;Animation, Kids, Music;Disney Junior songs reimagined as calming lullabies.;TV-Y;1 Season;
s47;Movie;Santa Buddies: The Legend of Santa Paws;Robert Vince;Christopher Lloyd, Danny Woodburn, Craig Anton, Michael Teigen, Ben Giroux, Paul Rae;November 5, 2021;2009;Comedy, Fantasy, Kids;The Buddies remind Santa Paws' feisty son, Puppy Paws, about the true meaning of Christmas.;G;93 min;Canada
s47;Movie;Santa Buddies: The Legend of Santa Paws;Robert Vince;Christopher Lloyd, Danny Woodburn, Craig Anton, Michael Teigen, Ben Giroux, Paul Rae;November 5, 2021;2009;Comedy, Fantasy, Kids;The Buddies remind Santa Paws' feisty son, Puppy Paws, about the true meaning of Christmas.;G;93 min;United States
s470;Movie;Lost City of Machu Picchu;;Craig Sechler;July 17, 2020;2019;Documentary, Family;Who were the mysterious people who built Machu Picchu and why?;TV-14;44 min;United States
s471;TV Show;Super Robot Monkey Team Hyperforce Go!;;"Greg Cipes, Kevin Michael	Richardson, Tom Kenny, Kari Wahlgren, Clancy Brown, Corey Feldman";July 17, 2020;2004;Action-Adventure, Animation, Anime;Chiro and a team of five Robot Monkeys defend Shuggazoom City against Skeleton King and his minions.;TV-Y7;2 Seasons;United States
s471;TV Show;Super Robot Monkey Team Hyperforce Go!;;"Greg Cipes, Kevin Michael	Richardson, Tom Kenny, Kari Wahlgren, Clancy Brown, Corey Feldman";July 17, 2020;2004;Action-Adventure, Animation, Anime;Chiro and a team of five Robot Monkeys defend Shuggazoom City against Skeleton King and his minions.;TV-Y7;2 Seasons; Japan
s472;Movie;The Mouseketeers at Walt Disney World;John Tracy;Jo Worley, Ronnie Schell, Dennis Underwood, Leslie Norris, Billy Attmore, Scott Craig;July 17, 2020;1977;Coming of Age, Drama, Family;The Mouseketeers arrive to perform at Walt Disney World. See details for advisory.;TV-PG;56 min;United States
s473;TV Show;Wild Chile;;Peter Venn;July 17, 2020;2017;Animals & Nature, Docuseries, Family;This beautiful and intriguing blue-chip series explores the incredibly varied wildlife of Chile.;TV-PG;1 Season;United Kingdom
s474;Movie;X-Men: Apocalypse;Bryan Singer;James McAvoy, Michael Fassbender, Jennifer Lawrence, Oscar Isaac, Nicholas Hoult, Rose Byrne;July 17, 2020;2016;Action-Adventure, Family, Science Fiction;Apocalypse, the most powerful mutant in the universe, tries to destroy all of mankind.;PG-13;144 min;United States
s475;TV Show;Cosmos: A Spacetime Odyssey;;Neil Tyson, Stoney Emshwiller;July 10, 2020;2013;Action-Adventure, Docuseries, Family;A 13-part adventure across the universe of space and time.;TV-PG;1 Season;United States
s476;Movie;Hamilton: History Has Its Eyes on You;;Lin-Manuel Miranda, Thomas Kail, Christopher Jackson, Leslie Odom Jr., Phillipa Soo, Renee Goldsberry;July 10, 2020;2020;Historical, Musical;Robin Roberts hosts a discussion with Lin-Manuel Miranda, Thomas Kail, and original cast members.;TV-PG;47 min;United States
s477;Movie;Solo: A Star Wars Story;Ron Howard;Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Thandie Newton, Phoebe Waller-Bridge;July 10, 2020;2018;Action-Adventure, Crime, Science Fiction;Witness the beginning of the Star Wars saga's most unlikely hero.;PG-13;135 min;United States
